[RowNum] 1
Trial:4424[answer] 0.000000[output] -0.000500
Trial:0[answer] -0.000000[output] -0.000500
Trial:4419[answer] 0.170000[output] 0.169500
Trial:4421[answer] -0.000000[output] 0.000500
Trial:4414[answer] 0.100000[output] 0.099500
Trial:4412[answer] -0.000000[output] 0.000500
Trial:4421[answer] 0.190000[output] 0.189500
Trial:4421[answer] -0.000000[output] 0.000500
Trial:4418[answer] 0.140000[output] 0.139500
Trial:3203[answer] -0.000000[output] 0.000500
Trial:3517[answer] 0.170000[output] 0.169500
Trial:1805[answer] -0.000000[output] 0.000500
Trial:1806[answer] 0.260000[output] 0.259500
Trial:1807[answer] -0.000000[output] 0.000500
Trial:1806[answer] 0.210000[output] 0.209500
Trial:1806[answer] -0.000000[output] 0.000500
Trial:1806[answer] 0.200000[output] 0.199500
Trial:1806[answer] -0.000000[output] 0.000500
Trial:1807[answer] 0.240000[output] 0.239500
Trial:1807[answer] -0.000000[output] 0.000500
Trial:1807[answer] 0.380000[output] 0.379500
Trial:1807[answer] -0.000000[output] 0.000500
Trial:1807[answer] 0.290000[output] 0.289500
Trial:1807[answer] -0.000000[output] 0.000500
Trial:1807[answer] 0.330000[output] 0.329500
Trial:1808[answer] -0.000000[output] 0.000500
Trial:1807[answer] 0.350000[output] 0.349500
Trial:1808[answer] -0.000000[output] 0.000500
Trial:1807[answer] 0.230000[output] 0.229500
Trial:1807[answer] -0.000000[output] 0.000500
Trial:1805[answer] 0.170000[output] 0.169500
Trial:1806[answer] -0.000000[output] 0.000500
Trial:1806[answer] 0.200000[output] 0.199500
Trial:1806[answer] -0.000000[output] 0.000500
Trial:1799[answer] 0.070000[output] 0.069500
Trial:1036[answer] -0.000000[output] 0.000500
Trial:0[answer] 0.000000[output] 0.000500
Trial:0[answer] -0.000000[output] 0.000500
Trial:1093[answer] -0.030000[output] -0.029500
Trial:1092[answer] -0.000000[output] -0.000500
Trial:1099[answer] 0.050000[output] 0.049500
Trial:1099[answer] -0.000000[output] 0.000500
Trial:1061[answer] -0.010000[output] -0.009500
Trial:1056[answer] -0.000000[output] -0.000500
Trial:1093[answer] 0.030000[output] 0.029500
Trial:1092[answer] -0.000000[output] 0.000500
Trial:1099[answer] -0.050000[output] -0.049500
Trial:1099[answer] -0.000000[output] -0.000500
Trial:1101[answer] 0.060000[output] 0.059500
Trial:1100[answer] -0.000000[output] 0.000500
Trial:1061[answer] -0.010000[output] -0.009500
Trial:1056[answer] -0.000000[output] -0.000500
Trial:1104[answer] -0.130000[output] -0.129500
Trial:1104[answer] -0.000000[output] -0.000500
Trial:1105[answer] -0.190000[output] -0.189500
Trial:1105[answer] -0.000000[output] -0.000500
Trial:1105[answer] -0.150000[output] -0.149500
Trial:1105[answer] -0.000000[output] -0.000500
Trial:1105[answer] -0.170000[output] -0.169500
Trial:1105[answer] -0.000000[output] -0.000500
[RowNum] 2
Trial:4417[answer] 0.000000[output] 0.000500
Trial:0[answer] -0.000000[output] 0.000500
Trial:4421[answer] 0.170000[output] 0.169500
Trial:3772[answer] -0.000000[output] 0.000500
Trial:3765[answer] 0.100000[output] 0.099500
Trial:2104[answer] -0.000000[output] 0.000500
Trial:2112[answer] 0.070000[output] 0.069500
Trial:2112[answer] -0.000000[output] 0.000500
Trial:2115[answer] 0.090000[output] 0.089500
Trial:2116[answer] -0.000000[output] 0.000500
Trial:2115[answer] 0.090000[output] 0.089500
Trial:2115[answer] -0.000000[output] 0.000500
Trial:2114[answer] 0.080000[output] 0.079500
Trial:2114[answer] -0.000000[output] 0.000500
Trial:2118[answer] 0.120000[output] 0.119500
Trial:2118[answer] -0.000000[output] 0.000500
Trial:2120[answer] 0.150000[output] 0.149500
Trial:2120[answer] -0.000000[output] 0.000500
Trial:2122[answer] 0.320000[output] 0.319500
Trial:2123[answer] -0.000000[output] 0.000500
Trial:2121[answer] 0.200000[output] 0.199500
Trial:2121[answer] -0.000000[output] 0.000500
Trial:2120[answer] 0.170000[output] 0.169500
Trial:2120[answer] -0.000000[output] 0.000500
Trial:2119[answer] 0.150000[output] 0.149500
Trial:2119[answer] -0.000000[output] 0.000500
Trial:2119[answer] 0.150000[output] 0.149500
Trial:2119[answer] -0.000000[output] 0.000500
Trial:2107[answer] 0.050000[output] 0.049500
Trial:2106[answer] -0.000000[output] 0.000500
Trial:2078[answer] -0.020000[output] -0.019500
Trial:2075[answer] -0.000000[output] -0.000500
Trial:2120[answer] -0.160000[output] -0.159500
Trial:2120[answer] -0.000000[output] -0.000500
Trial:2120[answer] -0.180000[output] -0.179500
Trial:2120[answer] -0.000000[output] -0.000500
Trial:2078[answer] 0.020000[output] 0.019500
Trial:2075[answer] -0.000000[output] 0.000500
Trial:2094[answer] -0.030000[output] -0.029500
Trial:2093[answer] -0.000000[output] -0.000500
Trial:2110[answer] -0.060000[output] -0.059500
Trial:2110[answer] -0.000000[output] -0.000500
Trial:2114[answer] -0.080000[output] -0.079500
Trial:2114[answer] -0.000000[output] -0.000500
Trial:2101[answer] -0.040000[output] -0.039500
Trial:2102[answer] -0.000000[output] -0.000500
Trial:2116[answer] -0.100000[output] -0.099500
Trial:2117[answer] -0.000000[output] -0.000500
Trial:2122[answer] -0.260000[output] -0.259500
Trial:2122[answer] -0.000000[output] -0.000500
Trial:2121[answer] -0.230000[output] -0.229500
Trial:2122[answer] -0.000000[output] -0.000500
Trial:2123[answer] -0.350000[output] -0.349500
Trial:2122[answer] -0.000000[output] -0.000500
Trial:2121[answer] -0.270000[output] -0.269500
Trial:2122[answer] -0.000000[output] -0.000500
Trial:2122[answer] -0.330000[output] -0.329500
Trial:2122[answer] -0.000000[output] -0.000500
Trial:2123[answer] -0.320000[output] -0.319500
Trial:2122[answer] -0.000000[output] -0.000500
[RowNum] 3
Trial:4414[answer] -0.010000[output] -0.009500
Trial:4205[answer] -0.000000[output] -0.000500
Trial:4409[answer] 0.084200[output] 0.083700
Trial:4408[answer] -0.000000[output] 0.000500
Trial:4427[answer] -0.424200[output] -0.423700
Trial:4427[answer] -0.000000[output] -0.000500
Trial:4426[answer] -0.344200[output] -0.343700
Trial:4426[answer] -0.000000[output] -0.000500
Trial:4425[answer] -0.344500[output] -0.344000
Trial:4426[answer] -0.000000[output] -0.000500
Trial:4424[answer] -0.224500[output] -0.224000
Trial:4423[answer] -0.000000[output] -0.000500
Trial:4427[answer] -0.364800[output] -0.364300
Trial:3780[answer] -0.000000[output] -0.000500
Trial:3780[answer] -0.464800[output] -0.464300
Trial:3780[answer] -0.000000[output] -0.000500
Trial:3780[answer] -0.464800[output] -0.464300
Trial:3780[answer] -0.000000[output] -0.000500
Trial:4285[answer] -0.454900[output] -0.454400
Trial:4285[answer] -0.000000[output] -0.000500
Trial:4362[answer] -0.424900[output] -0.424400
Trial:3737[answer] -0.000000[output] -0.000500
Trial:3738[answer] -0.424900[output] -0.424400
Trial:3737[answer] -0.000000[output] -0.000500
Trial:3732[answer] -0.184900[output] -0.184400
Trial:3688[answer] -0.000000[output] -0.000500
Trial:3664[answer] 0.051300[output] 0.050800
Trial:3663[answer] -0.000000[output] 0.000500
Trial:3667[answer] 0.056400[output] 0.055900
Trial:3667[answer] -0.000000[output] 0.000500
Trial:3542[answer] 0.012000[output] 0.011500
Trial:3543[answer] -0.000000[output] 0.000500
Trial:3655[answer] -0.040600[output] -0.040100
Trial:3654[answer] -0.000000[output] -0.000500
Trial:3687[answer] -0.168000[output] -0.167500
Trial:3687[answer] -0.000000[output] -0.000500
Trial:3976[answer] -0.131900[output] -0.131400
Trial:3978[answer] -0.000000[output] -0.000500
