AI(BLACK)：,ニューラルネットワークによる評価値を使ったプログラム,,,,,
AI(WHITE)：,評価テーブルを使ったプログラム,,,,,
,,,,,,
No,黒の駒数,白の駒数,処理時間(ms),,,
1,32,32,14113,△,,
2,32,32,15253,△,,
3,57,7,9855,○,,
4,35,29,15427,○,,
5,48,16,12511,○,,
6,34,30,14862,○,,
7,47,17,14552,○,,
8,47,17,15173,○,,
9,35,29,15434,○,,
10,35,29,9594,○,,
11,26,38,15654,×,,
12,25,39,15419,×,,
13,41,23,15396,○,,
14,27,37,11655,×,,
15,37,27,18738,○,,
16,40,24,17309,○,,
17,30,34,16722,×,,
18,38,26,15332,○,,
19,33,31,17096,○,,
20,31,33,14956,×,,
21,36,28,18936,○,,
22,27,37,13847,×,,
23,45,19,15964,○,,
24,32,32,13539,△,,
25,30,34,16227,×,,
26,31,33,19443,×,,
27,43,21,14107,○,,
28,39,25,14221,○,,
29,36,28,14143,○,,
30,36,28,14963,○,,
31,29,35,17162,×,,
32,37,27,17194,○,,
33,38,26,17667,○,,
34,34,30,15894,○,,
35,34,30,15614,○,,
36,39,25,12047,○,,
37,43,21,13495,○,,
38,39,25,16393,○,,
39,42,22,15574,○,,
40,29,35,17421,×,,
41,29,35,17964,×,,
42,29,35,18227,×,,
43,46,18,14157,○,,
44,35,29,16429,○,,
45,42,22,13836,○,,
46,47,17,15757,○,,
47,28,36,16099,×,,
48,31,33,14334,×,,
49,42,22,13273,○,,
50,33,31,15891,○,,
51,41,23,13776,○,,
52,40,24,12898,○,,
53,48,16,15519,○,,
54,51,13,19477,○,,
55,39,25,14735,○,,
56,33,0,5621,○,,
57,25,39,16799,×,,
58,33,31,13862,○,,
59,40,24,16080,○,,
60,29,35,10707,×,,
61,27,37,11653,×,,
62,41,23,15769,○,,
63,30,34,15136,×,,
64,27,37,13812,×,,
65,41,23,14463,○,,
66,43,21,14182,○,,
67,46,18,14659,○,,
68,45,19,11587,○,,
69,37,27,12542,○,,
70,39,25,13375,○,,
71,32,32,13418,△,,
72,42,22,13097,○,,
73,34,30,14158,○,,
74,42,22,15535,○,,
75,38,26,12057,○,,
76,36,28,14322,○,,
77,45,19,15089,○,,
78,24,40,12801,×,,
79,42,22,14250,○,,
80,45,19,11582,○,,
81,42,22,12561,○,,
82,38,26,12332,○,,
83,43,21,14527,○,,
84,46,18,12822,○,,
85,28,36,10723,×,,
86,39,25,15082,○,,
87,37,27,13441,○,,
88,39,25,17353,○,,
89,36,28,13894,○,,
90,52,12,10068,○,,
91,27,37,16231,×,,
92,51,13,15553,○,,
93,42,22,15659,○,,
94,43,21,14812,○,,
95,32,32,17491,△,,
96,39,25,12850,○,,
97,49,15,11656,○,,
98,37,27,12008,○,,
99,32,32,14212,△,,
100,24,40,16995,×,,
,,,,,,
,,,,71,6,23
