AI(BLACK)：,ランダムに手を選ぶサンプルプログラム
AI(WHITE)：,ニューラルネットワーク

No,黒の駒数,白の駒数,処理時間(ms)
1,41,23,38
2,18,46,15
3,29,35,14
4,22,42,17
5,19,45,14
6,50,14,12
7,35,29,13
8,39,25,14
9,26,38,13
10,48,16,11
11,46,18,11
12,37,27,14
13,27,37,11
14,24,40,14
15,32,32,19
16,24,40,11
17,18,46,11
18,26,38,19
19,26,38,14
20,30,34,12
21,37,27,12
22,13,51,16
23,20,44,14
24,12,52,14
25,29,35,12
26,10,54,12
27,40,24,11
28,32,32,12
29,19,45,16
30,43,21,13
31,18,46,15
32,18,46,11
33,22,42,10
34,39,25,14
35,30,34,18
36,33,31,9
37,40,24,10
38,23,41,9
39,27,37,13
40,23,41,11
41,37,27,14
42,32,32,15
43,25,39,11
44,41,23,10
45,30,34,11
46,16,48,14
47,29,35,11
48,28,36,11
49,27,37,14
50,35,29,9
51,32,32,14
52,35,29,13
53,32,32,13
54,35,29,17
55,42,22,15
56,17,47,9
57,28,36,15
58,33,31,14
59,39,25,15
60,23,41,10
61,48,16,13
62,29,35,9
63,27,37,13
64,33,31,10
65,47,17,11
66,14,50,13
67,31,33,11
68,33,31,12
69,44,20,12
70,26,37,14
71,32,32,12
72,16,48,9
73,31,33,18
74,23,41,17
75,16,48,13
76,28,36,10
77,25,39,13
78,31,33,16
79,33,31,21
80,21,43,22
81,29,35,23
82,35,28,11
83,23,41,11
84,44,20,11
85,36,28,10
86,26,38,15
87,41,23,11
88,38,26,17
89,24,40,13
90,46,18,15
91,44,20,10
92,37,27,15
93,35,29,7
94,29,35,11
95,36,28,15
96,29,35,13
97,26,38,11
98,28,36,10
99,44,20,17
100,29,35,13
